Taxon,Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,First.Observed,Observer,iNaturalist.Link,iNaturalist.Photo,Notes,ID,Stats.Code,Critical Notes A.L.&D.G.
Chaetopterus sp.,,U-shaped parchment tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,,,reported,unobserved,05/03/2006,Andy Lamb & Donna Gibbs,PMLS,,,,,,species complex,,MAR,
Phyllochaeopterus prolifica,"Potts, 1914",prolific three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,,,reported,unobserved,11/11/2006,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Phyllochaetopterus claparedii,"McIntosh, 1885",tangled-straw three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,,,reported,unobserved,14/10/2007,Andy Lamb & Donna Gibbs,PMLS,,,,,,misspelled Phyllochaeopterus claparedii,,MAR,
Spiochaetopterus costarum,"(Claparède, 1869)",jointed three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,,,reported,unobserved,07/12/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,misspelled Spiochaeopterus costarum,,MAR,
Diopatra ornata,"Moore, 1911",ornate tubeworm,Animalia,Annelida,,,Polychaeta,Errantia,,Eunicida,,,Onuphidae,,,,reported,unobserved,02/10/1999,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Oxydromus pugettensis,"(Johnson, 1901)",bat star commensal worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Hesionidae,,,,confirmed,observed,23/06/2006,Andy Lamb & Donna Gibbs,PMLS,,10/08/2018,Karolle Wall,https://www.inaturalist.org/observations/15702535,https://static.inaturalist.org/photos/23436366/medium.jpg?1534715227,,494514,MAR,
Nephtys sp.,,goddess-worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,incertae sedis,,Nephtyidae,,,,reported,unobserved,22/02/1969,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Nereis procera,"Ehlers, 1868",little pileworm sea-nymph,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,,,,reported,unobserved,01/03/2008,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Nereis vexillosa,"Grube, 1851",banner sea-nymph,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,,,,reported,unobserved,22/02/1969,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Arctonoe fragilis,"(Baird, 1863)",fragile ruffled scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,,,reported,unobserved,05/05/1999,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
